학교명,전형,모집단위,50% cut,70% cut,평가에 반영된 교과목
서울대,학생부 종합 전형,인문계열,1.33,1.4,전과목
서울대,학생부 종합 전형,역사학부,1.36,1.43,전과목
서울대,학생부 종합 전형,정치외교학부,1.11,1.21,전과목
서울대,학생부 종합 전형,경제학부,1.09,1.11,전과목
서울대,학생부 종합 전형,사회학과,1.09,1.12,전과목
서울대,학생부 종합 전형,심리학과,1.09,1.26,전과목
서울대,학생부 종합 전형,지리학과,1.39,1.39,전과목
서울대,학생부 종합 전형,사회복지학과,1.22,1.32,전과목
서울대,학생부 종합 전형,수리과학부,1.17,1.18,전과목
서울대,학생부 종합 전형,통계학과,1.13,1.15,전과목
서울대,학생부 종합 전형,물리·천문학부 물리학전공,1.21,1.24,전과목
서울대,학생부 종합 전형,화학부,1.18,1.39,전과목
서울대,학생부 종합 전형,생명과학부,1.16,1.18,전과목
서울대,학생부 종합 전형,지구환경과학부,1.22,1.39,전과목
서울대,학생부 종합 전형,간호대학,1.53,1.6,전과목
서울대,학생부 종합 전형,경영대학,1.16,1.22,전과목
서울대,학생부 종합 전형,건설환경공학부,1.19,1.21,전과목
서울대,학생부 종합 전형,기계공학부,1.25,1.3,전과목
서울대,학생부 종합 전형,재료공학부,1.21,1.25,전과목
서울대,학생부 종합 전형,전기·정보공학부,1.06,1.1,전과목
서울대,학생부 종합 전형,컴퓨터공학부,1.09,1.11,전과목
서울대,학생부 종합 전형,화학생물공학부,1.26,1.3,전과목
서울대,학생부 종합 전형,건축학과,1.28,1.32,전과목
서울대,학생부 종합 전형,산업공학과,1.28,1.28,전과목
서울대,학생부 종합 전형,에너지자원공학과,1.15,1.27,전과목
서울대,학생부 종합 전형,원자핵공학과,1.14,1.28,전과목
서울대,학생부 종합 전형,조선해양공학과,1.52,1.54,전과목
서울대,학생부 종합 전형,항공우주공학과,1.18,1.18,전과목
서울대,학생부 종합 전형,농경제사회학부,1.23,1.23,전과목
서울대,학생부 종합 전형,식품생산과학부,1.33,1.34,전과목
서울대,학생부 종합 전형,산림과학부,1.44,1.53,전과목
서울대,학생부 종합 전형,식품동물생명공학부,1.43,1.48,전과목
서울대,학생부 종합 전형,응용생물화학부,1.19,1.23,전과목
서울대,학생부 종합 전형,조경·지역시스템공학부,1.42,1.46,전과목
서울대,학생부 종합 전형,바이오시스템소재학부,1.35,1.37,전과목
서울대,학생부 종합 전형,스마트시스템과학과,1.4,1.4,전과목
서울대,학생부 종합 전형,국어교육과,1.14,1.14,전과목
서울대,학생부 종합 전형,영어교육과,1.13,1.13,전과목
서울대,학생부 종합 전형,독어교육과,1.28,1.28,전과목
서울대,학생부 종합 전형,불어교육과,1.55,1.55,전과목
서울대,학생부 종합 전형,사학교육과,1.2,1.31,전과목
서울대,학생부 종합 전형,역사교육과(*),1.3,1.35,전과목
서울대,학생부 종합 전형,지리교육과,1.37,1.37,전과목
서울대,학생부 종합 전형,윤리교육과,1.4,1.45,전과목
서울대,학생부 종합 전형,수학교육과,1.1,1.1,전과목
서울대,학생부 종합 전형,물리교육과,1.3,1.35,전과목
서울대,학생부 종합 전형,화학교육과,1.44,1.5,전과목
서울대,학생부 종합 전형,생물교육과,1.26,1.26,전과목
서울대,학생부 종합 전형,지구과학교육과,1.3,1.35,전과목
서울대,학생부 종합 전형,체육교육과,1.4,1.45,전과목
서울대,학생부 종합 전형,소비자아동학부 소비자학전공,1.22,1.32,전과목
서울대,학생부 종합 전형,소비자아동학부 아동가족학전공,1.44,1.44,전과목
서울대,학생부 종합 전형,식품영양학과(*),1.45,1.5,전과목
서울대,학생부 종합 전형,의류학과,1.72,1.9,전과목
서울대,학생부 종합 전형,수의학과,1.11,1.13,전과목
서울대,학생부 종합 전형,약학계열,1.05,1.12,전과목
서울대,학생부 종합 전형,의예과,1.03,1.06,전과목
서울대,학생부 종합 전형,첨단융합학부,1.18,1.26,전과목
서울대,학생부 종합 전형,자유전공학부,1.2,1.26,전과목
연세대,학생부 교과 전형,국어국문학과,1.4,1.42,전과목
연세대,학생부 교과 전형,중어중문학과,1.37,1.37,전과목
연세대,학생부 교과 전형,영어영문학과,1.33,1.36,전과목
연세대,학생부 교과 전형,독어독문학과,1.51,1.52,전과목
연세대,학생부 교과 전형,불어불문학과,1.43,1.6,전과목
연세대,학생부 교과 전형,노어노문학과,1.58,1.58,전과목
연세대,학생부 교과 전형,사학과,1.43,1.49,전과목
연세대,학생부 교과 전형,철학과,1.43,1.47,전과목
연세대,학생부 교과 전형,문헌정보학과,1.52,1.6,전과목
연세대,학생부 교과 전형,심리학과,1.37,1.47,전과목
연세대,학생부 교과 전형,경제학부,1.37,1.46,전과목
연세대,학생부 교과 전형,응용통계학과,1.28,1.32,전과목
연세대,학생부 교과 전형,경영학과,1.22,1.27,전과목
연세대,학생부 교과 전형,수학과,1.24,1.24,전과목
연세대,학생부 교과 전형,물리학과,1.28,1.33,전과목
연세대,학생부 교과 전형,화학과,1.27,1.3,전과목
연세대,학생부 교과 전형,지구시스템과학과,1.39,1.39,전과목
연세대,학생부 교과 전형,천문우주학과,1.33,1.34,전과목
연세대,학생부 교과 전형,대기과학과,1.44,1.46,전과목
연세대,학생부 교과 전형,화공생명공학부,1.17,1.18,전과목
연세대,학생부 교과 전형,전기전자공학부,1.2,1.26,전과목
연세대,학생부 교과 전형,건축공학과,1.32,1.42,전과목
연세대,학생부 교과 전형,도시공학과,1.44,1.46,전과목
연세대,학생부 교과 전형,사회환경시스템공학부,1.36,1.39,전과목
연세대,학생부 교과 전형,기계공학부,1.34,1.37,전과목
연세대,학생부 교과 전형,신소재공학부,1.24,1.27,전과목
연세대,학생부 교과 전형,산업공학과,1.24,1.29,전과목
연세대,학생부 교과 전형,시스템반도체공학과,1.15,1.2,전과목
연세대,학생부 교과 전형,디스플레이융합공학과,1.3,1.35,전과목
연세대,학생부 교과 전형,시스템생물학과,1.35,1.4,전과목
연세대,학생부 교과 전형,생화학과,1.3,1.3,전과목
연세대,학생부 교과 전형,생명공학과,1.14,1.19,전과목
연세대,학생부 교과 전형,첨단컴퓨팅학부,1.16,1.18,전과목
연세대,학생부 교과 전형,IT융합공학전공,1.21,1.21,전과목
연세대,학생부 교과 전형,지능형반도체전공,1.43,1.48,전과목
연세대,학생부 교과 전형,신학과,1.65,1.78,전과목
연세대,학생부 교과 전형,정치외교학과,1.26,1.3,전과목
연세대,학생부 교과 전형,행정학과,1.27,1.3,전과목
연세대,학생부 교과 전형,사회복지학과,1.45,1.45,전과목
연세대,학생부 교과 전형,사회학과,1.58,1.64,전과목
연세대,학생부 교과 전형,문화인류학과,1.56,1.56,전과목
연세대,학생부 교과 전형,언론홍보영상학부,1.16,1.16,전과목
연세대,학생부 교과 전형,의류환경학과,1.64,1.64,전과목
연세대,학생부 교과 전형,식품영양학과,1.42,1.42,전과목
연세대,학생부 교과 전형,실내건축학과,1.56,1.56,전과목
연세대,학생부 교과 전형,아동·가족학과,1.43,1.43,전과목
연세대,학생부 교과 전형,통합디자인학과,1.42,1.5,전과목
연세대,학생부 교과 전형,교육학부,1.69,1.87,전과목
연세대,학생부 교과 전형,의예과,1,1.01,전과목
연세대,학생부 교과 전형,치의예과,1.1,1.11,전과목
연세대,학생부 교과 전형,간호학과,1.44,1.46,전과목
연세대,학생부 교과 전형,약학과,1.04,1.04,전과목
연세대,학생부 종합 전형,국어국문학과,2.57,2.81,전과목
연세대,학생부 종합 전형,중어중문학과,2.28,2.41,전과목
연세대,학생부 종합 전형,영어영문학과,1.73,1.87,전과목
연세대,학생부 종합 전형,독어독문학과,2.3,2.5,전과목
연세대,학생부 종합 전형,불어불문학과,2.73,2.8,전과목
연세대,학생부 종합 전형,노어노문학과,1.73,1.91,전과목
연세대,학생부 종합 전형,사학과,2.28,2.36,전과목
